Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Exception
2017/02/17, 23:30:25, 39.015224, -123.065536, 610.71,  0.00, 228, 0, 0.00, 
2017/02/17, 23:30:30, 39.015228, -123.065552, 614.71,  1584.00, 228, 0, 1.45, 
2017/02/17, 23:30:36, 39.015244, -123.065552, 613.79,  1728.00, 228, 0, 1.78, 
2017/02/17, 23:30:41, 39.015274, -123.065536, 616.32,  252.00, 328, 0, 3.61, 
2017/02/17, 23:30:46, 39.015255, -123.065567, 618.09,  1872.00, 328, 0, 3.41, 
2017/02/17, 23:30:51, 39.015247, -123.065552, 612.07,  0.00, 328, 0, 1.57, 
2017/02/17, 23:30:56, 39.015247, -123.065552, 612.07,  0.00, 328, 0, 0.00, 
2017/02/17, 23:31:01, 39.015247, -123.065552, 612.07,  0.00, 328, 0, 0.00, 
2017/02/17, 23:31:07, 39.015247, -123.065552, 612.07,  0.00, 328, 0, 0.00, 
2017/02/17, 23:31:12, 39.015247, -123.065552, 612.07,  0.00, 328, 0, 0.00, 
2017/02/17, 23:31:16, 39.015209, -123.065529, 606.32,  1692.00, 328, 0, 4.67, 
2017/02/17, 23:31:21, 39.015205, -123.065491, 605.09,  1620.00, 197, 0, 3.31, 
2017/02/17, 23:31:27, 39.015179, -123.065498, 602.26,  900.00, 175, 0, 2.95, 
2017/02/17, 23:31:33, 39.015167, -123.065491, 601.41,  0.00, 175, 0, 1.46, 
2017/02/17, 23:31:38, 39.015167, -123.065491, 601.41,  0.00, 175, 0, 0.00, 
2017/02/17, 23:31:42, 39.015167, -123.065491, 601.41,  0.00, 175, 0, 0.00, 
2017/02/17, 23:31:48, 39.015141, -123.065506, 599.17,  1728.00, 175, 0, 3.17, 
2017/02/17, 23:31:53, 39.015129, -123.065536, 601.59,  1764.00, 196, 0, 2.92, 
2017/02/17, 23:31:58, 39.015114, -123.065552, 603.89,  1260.00, 191, 0, 2.17, 
2017/02/17, 23:32:04, 39.015091, -123.065575, 604.18,  2376.00, 192, 0, 3.24, 
2017/02/17, 23:32:09, 39.015079, -123.065605, 604.24,  1260.00, 194, 0, 2.92, 
2017/02/17, 23:32:14, 39.015068, -123.065620, 602.12,  2124.00, 194, 0, 1.78, 
2017/02/17, 23:32:21, 39.015026, -123.065605, 601.59,  2700.00, 178, 0, 4.85, 
2017/02/17, 23:32:27, 39.014965, -123.065620, 600.78,  3456.00, 169, 0, 6.91, 
2017/02/17, 23:32:32, 39.014931, -123.065620, 601.02,  2736.00, 174, 0, 3.78, 
2017/02/17, 23:32:37, 39.014908, -123.065636, 600.50,  2412.00, 188, 0, 2.91, 
2017/02/17, 23:32:42, 39.014900, -123.065651, 598.06,  1548.00, 208, 0, 1.57, 
2017/02/17, 23:32:47, 39.014885, -123.065666, 596.59,  1008.00, 208, 0, 2.11, 
2017/02/17, 23:32:53, 39.014854, -123.065697, 594.39,  2520.00, 210, 0, 4.37, 
2017/02/17, 23:32:59, 39.014816, -123.065720, 594.19,  2916.00, 208, 0, 4.67, 
2017/02/17, 23:33:04, 39.014801, -123.065720, 593.14,  540.00, 207, 0, 1.67, 1
2017/02/17, 23:33:08, 39.014812, -123.065712, 592.46,  0.00, 207, 0, 1.40, 
2017/02/17, 23:33:14, 39.014812, -123.065712, 592.46,  0.00, 207, 0, 0.00, 
2017/02/17, 23:33:19, 39.014812, -123.065712, 592.46,  0.00, 207, 0, 0.00, 
2017/02/17, 23:33:23, 39.014812, -123.065712, 592.46,  0.00, 207, 0, 0.00, 
2017/02/17, 23:33:28, 39.014900, -123.065712, 596.05,  684.00, 303, 0, 9.79, 
2017/02/17, 23:33:34, 39.014973, -123.065727, 598.24,  3240.00, 351, 0, 8.22, 
2017/02/17, 23:33:39, 39.014973, -123.065735, 595.50,  2016.00, 350, 0, 0.69, 
2017/02/17, 23:33:43, 39.014946, -123.065735, 597.40,  0.00, 350, 0, 3.00, 
2017/02/17, 23:33:49, 39.014946, -123.065735, 597.40,  0.00, 350, 0, 0.00, 
2017/02/17, 23:33:53, 39.014946, -123.065735, 597.40,  0.00, 350, 0, 0.00, 
2017/02/17, 23:33:59, 39.014946, -123.065735, 597.40,  0.00, 350, 0, 0.00, 
2017/02/17, 23:34:03, 39.014946, -123.065735, 597.40,  0.00, 350, 0, 0.00, 
2017/02/17, 23:34:09, 39.014927, -123.065750, 604.62,  1872.00, 344, 0, 2.48, 
2017/02/17, 23:34:13, 39.014919, -123.065765, 610.55,  0.00, 350, 0, 1.57, 
2017/02/17, 23:34:18, 39.014927, -123.065758, 612.26,  1584.00, 350, 0, 1.08, 1
2017/02/17, 23:34:23, 39.014851, -123.065704, 611.07,  2772.00, 52, 0, 9.65, 
